recall_number,reason_for_recall,recalling_firm,distribution_pattern,report_date,termination_date,status
PHA-04072023-01,Product Contamination,Russ' Commissary,NA,2023-04-07,NA,Ongoing
011-2023,Product Contamination,Elkhorn Valley Packing LLC,"Connecticut, Illinois, Indiana, Maryland, Massachusetts, Michigan, New Jersey, New York, Pennsylvania",2023-03-24,NA,Ongoing
010-2023,"Misbranding, Mislabeling, Unreported Allergens","Kelley Foods, A Division of Ben E. Keith","Alabama, Florida",2023-03-23,NA,Ongoing
008-2023,Product Contamination,"Hoyo, SBC",Minnesota,2023-03-17,NA,Ongoing
009-2023,Produced Without Benefit of Inspection,NA,Florida,2023-03-17,2023-04-13,Terminated
PHA-03102023-01,"Misbranding, Unreported Allergens",Taylor Farms Northwest LLC,"Idaho, Oregon, Washington",2023-03-10,NA,Ongoing
007-2023,Produced Without Benefit of Inspection,NA,"California, North Carolina, New York, Ohio, Arizona",2023-03-06,NA,Ongoing
006-2023,Mislabeling,"GH Foods NW, LLC",NA,2023-03-04,2023-03-21,Terminated
PHA-02232023-001,"Misbranding, Unreported Allergens","Heritage Specialty Foods, LLC","Oregon, Washington",2023-02-23,NA,Ongoing
005-2023,"Misbranding, Unreported Allergens",Whitsons Food Service (Bronx) Corp.,"New York, Pennsylvania",2023-02-16,2023-04-13,Terminated
PHA-02152023-01,Insanitary Conditions,NA,"California, Nevada",2023-02-15,NA,Ongoing
PHA-02142023-01,"Misbranding, Mislabeling, Unreported Allergens",Tampa Bay Fisheries,"Florida, Georgia, North Carolina",2023-02-14,NA,Ongoing
PHA-02082023-01,"Misbranding, Unreported Allergens",Goulart's Sausage Co.,California,2023-02-08,NA,Ongoing
PHA-02032023-01,Processing Defect,"Vanguard Culinary Group, Ltd.","Alabama, Florida, New York, Pennsylvania, Virginia",2023-02-03,NA,Ongoing
PHA-02033023-02,"Misbranding, Unreported Allergens",CAFE SPICE LLC,"New York, Pennsylvania",2023-02-03,NA,Ongoing
004-2023,Import Violation,NA,Nationwide,2023-02-03,NA,Ongoing
PHA-02012023-01,Unreported Allergens,NA,Nationwide,2023-02-01,NA,Ongoing
003-2023,"Processing Defect, Product Contamination","ConAgra Brands, Inc.",Nationwide,2023-01-31,NA,Ongoing
002-2023,Produced Without Benefit of Inspection,NA,"Louisiana, Texas",2023-01-30,NA,Ongoing
001-2023,Product Contamination,Daniele International,NA,2023-01-29,NA,Ongoing
PHA-01192023-01,"Misbranding, Unreported Allergens",HY-VEE FRESH COMMISSARY,Wisconsin,2023-01-19,NA,Ongoing
PHA-01112023-01,Produced Without Benefit of Inspection,NA,"California, Nationwide",2023-01-11,NA,Ongoing
045-2022,Product Contamination,"Morasch Meats, Inc",NA,2022-12-22,2023-02-17,Terminated
044-2022,"Misbranding, Unreported Allergens","Mountain View Packaging, LLC",Nationwide,2022-12-15,2023-02-27,Terminated
043-2022,"Processing Defect, Product Contamination",Kraft Heinz Foods Company,"Ohio, Virginia",2022-12-05,NA,Ongoing
PHA-12052022-001,Product Contamination,NA,Texas,2022-12-05,NA,Ongoing
PHA-11302022-01,"Product Contamination, Unfit for Human Consumption",Paradise Locker Meats,Nationwide,2022-11-30,NA,Ongoing
042-2022,Product Contamination,"Tyson Fresh Meats, Inc.",Texas,2022-11-16,2022-12-16,Terminated
041-2022,Produced Without Benefit of Inspection,NA,California,2022-11-09,2022-12-12,Terminated
040-2022,Product Contamination,Foster Farms,"Arizona, California, Colorado, Utah, Washington",2022-10-29,2022-12-16,Terminated
039-2022,Produced Without Benefit of Inspection,"JYC Enterprise, Inc.",Wisconsin,2022-10-28,2023-02-07,Terminated
038-2022,Product Contamination,"Lone Star Bakery, Inc.","California, Florida, Georgia, Texas",2022-10-27,2023-02-28,Terminated
037-2022,"Misbranding, Mislabeling, Produced Without Benefit of Inspection",NA,Florida,2022-10-26,2023-01-10,Terminated
036-2022,Product Contamination,NA,NA,2022-10-21,2023-01-26,Terminated
035-2022,Product Contamination,"AdvancePierre Foods, Inc.",Virginia,2022-10-16,2023-01-18,Terminated
PHA-10132022-01,Product Contamination,NA,NA,2022-10-13,NA,Ongoing
PHA-10012022-01,Product Contamination,NA,Minnesota,2022-10-01,NA,Ongoing
034-2022,Product Contamination,"Behrmann Meat & Processing, Inc.",NA,2022-09-24,2023-03-15,Terminated
033-2022,Produced Without Benefit of Inspection,NA,NA,2022-09-23,2022-12-12,Terminated
032-2022,"Misbranding, Unreported Allergens","VICS Acquisition, LLC",Nationwide,2022-09-17,2022-12-16,Terminated
PHA-09162022-01,"Misbranding, Unreported Allergens",Tampa Bay Fisheries,"Alabama, Florida, Georgia, North Carolina, South Carolina, Tennessee, Virginia",2022-09-16,NA,Ongoing
PHA-09102022-01,Product Contamination,NA,Nationwide,2022-09-10,NA,Ongoing
031-2022,Product Contamination,"Sunset Farm Foods, Inc.","Alabama, Florida, Georgia, North Carolina",2022-09-07,2022-12-16,Terminated
030-2022,"Product Contamination, Unfit for Human Consumption",Magnolia Provision Company Inc.,Nationwide,2022-09-06,2022-10-19,Terminated
029-2022,Produced Without Benefit of Inspection,NA,New York,2022-08-31,2022-11-01,Terminated
028-2022,Product Contamination,NA,NA,2022-08-30,2022-10-03,Terminated
027-2022,Produced Without Benefit of Inspection,NA,Maryland,2022-08-25,2022-10-13,Terminated
PHA-08242022-01,"Misbranding, Unreported Allergens",NA,"Illinois, Indiana, Wisconsin",2022-08-24,NA,Ongoing
PHA-08232022-01,Product Contamination,Perdue Foods LLC,NA,2022-08-23,NA,Ongoing
PHA-08182022-01,Product Contamination,"Hawaii Beef Producers, LLC",Hawaii,2022-08-18,NA,Ongoing
026-2022,Product Contamination,Home Run Inn Frozen Foods,Illinois,2022-08-14,2022-10-27,Terminated
024-2022,Product Contamination,Rachael's Food Corporation,"Connecticut, Massachusetts, Rhode Island, New York",2022-07-30,2022-10-03,Terminated
025-2022,"Misbranding, Mislabeling, Unreported Allergens","ConAgra Brands, Inc.",Nationwide,2022-07-30,2022-12-12,Terminated
023-2022,Produced Without Benefit of Inspection,NA,"Florida, Texas",2022-07-28,2022-11-09,Terminated
022-2022,"Misbranding, Unreported Allergens",NA,NA,2022-07-20,2023-04-13,Terminated
021-2022,Unreported Allergens,NA,NA,2022-07-15,2022-09-29,Terminated
PHA-07122022-01,Unreported Allergens,"GH Foods NW, LLC",NA,2022-07-12,NA,Ongoing
PHA-07072022-01,Produced Without Benefit of Inspection,NA,New York,2022-07-07,NA,Ongoing
