case_number,recall_reason,establishment,states,date
PHA-04072023-01,"Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination",Russ' Commissary,NA,"Fri, 04/07/2023 - Current"
011-2023,"Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination",Elkhorn Valley Packing LLC,"Connecticut, Illinois, Indiana, Maryland, Massachusetts, Michigan, New Jersey, New York, Pennsylvania","Fri, 03/24/2023 - Current"
010-2023,"Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens","Kelley Foods, A Division of Ben E. Keith","Alabama, Florida","Thu, 03/23/2023 - Current"
008-2023,"Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination, Product Contamination","Hoyo, SBC",Minnesota,"Fri, 03/17/2023 - Current"
009-2023,"Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection",NA,Florida,"Fri, 03/17/2023 - Current"
PHA-03102023-01,"Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens",Taylor Farms Northwest LLC,"Idaho, Oregon, Washington","Fri, 03/10/2023 - Current"
007-2023,"Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection, Produced Without Benefit of Inspection",NA,"California, North Carolina, New York, Ohio, Arizona","Mon, 03/06/2023 - Current"
006-2023,"Mislabeling, Mislabeling, Mislabeling, Mislabeling, Mislabeling, Mislabeling, Mislabeling, Mislabeling, Mislabeling, Mislabeling, Mislabeling","GH Foods NW, LLC",NA,"Sat, 03/04/2023 - Tue, 03/21/2023"
PHA-02232023-001,"Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens","Heritage Specialty Foods, LLC","Oregon, Washington","Thu, 02/23/2023 - Current"
005-2023,"Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens",Whitsons Food Service (Bronx) Corp.,"New York, Pennsylvania","Thu, 02/16/2023 - Current"
PHA-02152023-01,"Insanitary Conditions, Insanitary Conditions, Insanitary Conditions, Insanitary Conditions, Insanitary Conditions, Insanitary Conditions, Insanitary Conditions, Insanitary Conditions, Insanitary Conditions, Insanitary Conditions",NA,"California, Nevada","Wed, 02/15/2023 - Current"
PHA-02142023-01,"Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens, Misbranding, Mislabeling, Unreported Allergens",Tampa Bay Fisheries,"Florida, Georgia, North Carolina","Tue, 02/14/2023 - Current"
PHA-02082023-01,"Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens",Goulart's Sausage Co.,California,"Wed, 02/08/2023 - Current"
PHA-02032023-01,"Processing Defect, Processing Defect, Processing Defect, Processing Defect, Processing Defect, Processing Defect, Processing Defect, Processing Defect, Processing Defect, Processing Defect","Vanguard Culinary Group, Ltd.","Alabama, Florida, New York, Pennsylvania, Virginia","Fri, 02/03/2023 - Current"
PHA-02033023-02,"Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens, Misbranding, Unreported Allergens",CAFE SPICE LLC,"New York, Pennsylvania","Fri, 02/03/2023 - Current"
004-2023,"Import Violation, Import Violation, Import Violation, Import Violation, Import Violation, Import Violation, Import Violation, Import Violation, Import Violation, Import Violation",NA,Nationwide,"Fri, 02/03/2023 - Current"
PHA-02012023-01,"Unreported Allergens, Unreported Allergens, Unreported Allergens, Unreported Allergens, Unreported Allergens, Unreported Allergens, Unreported Allergens, Unreported Allergens, Unreported Allergens, Unreported Allergens",NA,Nationwide,"Wed, 02/01/2023 - Current"
003-2023,"Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination, Processing Defect, Product Contamination","ConAgra Brands, Inc.",Nationwide,"Tue, 01/31/2023 - Current"
