case_number,recall_reason,establishment,states,date
PHA-04072023-01,Product Contamination,Russ' Commissary,NA,"Fri, 04/07/2023 - Current"
011-2023,Product Contamination,Elkhorn Valley Packing LLC,"Connecticut, Illinois, Indiana, Maryland, Massachusetts, Michigan, New Jersey, New York, Pennsylvania","Fri, 03/24/2023 - Current"
010-2023,"Misbranding, Mislabeling, Unreported Allergens","Kelley Foods, A Division of Ben E. Keith, Kelley Foods, A Division of Ben E. Keith, Kelley Foods, A Division of Ben E. Keith","Alabama, Florida, Alabama, Florida, Alabama, Florida","Thu, 03/23/2023 - Current, Thu, 03/23/2023 - Current, Thu, 03/23/2023 - Current"
008-2023,Product Contamination,"Hoyo, SBC",Minnesota,"Fri, 03/17/2023 - Current"
009-2023,Produced Without Benefit of Inspection,NA,Florida,"Fri, 03/17/2023 - Current"
PHA-03102023-01,"Misbranding, Unreported Allergens","Taylor Farms Northwest LLC, Taylor Farms Northwest LLC","Idaho, Oregon, Washington, Idaho, Oregon, Washington","Fri, 03/10/2023 - Current, Fri, 03/10/2023 - Current"
007-2023,Produced Without Benefit of Inspection,NA,"California, North Carolina, New York, Ohio, Arizona","Mon, 03/06/2023 - Current"
006-2023,Mislabeling,"GH Foods NW, LLC",NA,"Sat, 03/04/2023 - Tue, 03/21/2023"
PHA-02232023-001,"Misbranding, Unreported Allergens","Heritage Specialty Foods, LLC, Heritage Specialty Foods, LLC","Oregon, Washington, Oregon, Washington","Thu, 02/23/2023 - Current, Thu, 02/23/2023 - Current"
005-2023,"Misbranding, Unreported Allergens","Whitsons Food Service (Bronx) Corp., Whitsons Food Service (Bronx) Corp.","New York, Pennsylvania, New York, Pennsylvania","Thu, 02/16/2023 - Current, Thu, 02/16/2023 - Current"
PHA-02152023-01,Insanitary Conditions,NA,"California, Nevada","Wed, 02/15/2023 - Current"
PHA-02142023-01,"Misbranding, Mislabeling, Unreported Allergens","Tampa Bay Fisheries, Tampa Bay Fisheries, Tampa Bay Fisheries","Florida, Georgia, North Carolina, Florida, Georgia, North Carolina, Florida, Georgia, North Carolina","Tue, 02/14/2023 - Current, Tue, 02/14/2023 - Current, Tue, 02/14/2023 - Current"
PHA-02082023-01,"Misbranding, Unreported Allergens","Goulart's Sausage Co., Goulart's Sausage Co.","California, California","Wed, 02/08/2023 - Current, Wed, 02/08/2023 - Current"
PHA-02032023-01,Processing Defect,"Vanguard Culinary Group, Ltd.","Alabama, Florida, New York, Pennsylvania, Virginia","Fri, 02/03/2023 - Current"
PHA-02033023-02,"Misbranding, Unreported Allergens","CAFE SPICE LLC, CAFE SPICE LLC","New York, Pennsylvania, New York, Pennsylvania","Fri, 02/03/2023 - Current, Fri, 02/03/2023 - Current"
004-2023,Import Violation,NA,Nationwide,"Fri, 02/03/2023 - Current"
PHA-02012023-01,Unreported Allergens,NA,Nationwide,"Wed, 02/01/2023 - Current"
003-2023,"Processing Defect, Product Contamination","ConAgra Brands, Inc., ConAgra Brands, Inc.","Nationwide, Nationwide","Tue, 01/31/2023 - Current, Tue, 01/31/2023 - Current"
002-2023,Produced Without Benefit of Inspection,NA,"Louisiana, Texas","Mon, 01/30/2023 - Current"
001-2023,Product Contamination,Daniele International,NA,"Sun, 01/29/2023 - Current"
PHA-01192023-01,"Misbranding, Unreported Allergens","HY-VEE FRESH COMMISSARY, HY-VEE FRESH COMMISSARY","Wisconsin, Wisconsin","Thu, 01/19/2023 - Current, Thu, 01/19/2023 - Current"
PHA-01112023-01,Produced Without Benefit of Inspection,NA,"California, Nationwide","Wed, 01/11/2023 - Current"
045-2022,Product Contamination,"Morasch Meats, Inc",NA,"Thu, 12/22/2022 - Fri, 02/17/2023"
044-2022,"Misbranding, Unreported Allergens","Mountain View Packaging, LLC, Mountain View Packaging, LLC","Nationwide, Nationwide","Thu, 12/15/2022 - Mon, 02/27/2023, Thu, 12/15/2022 - Mon, 02/27/2023"
043-2022,"Processing Defect, Product Contamination","Kraft Heinz Foods Company, Kraft Heinz Foods Company","Ohio, Virginia, Ohio, Virginia","Mon, 12/05/2022 - Current, Mon, 12/05/2022 - Current"
PHA-12052022-001,Product Contamination,NA,Texas,"Mon, 12/05/2022 - Current"
PHA-11302022-01,"Product Contamination, Unfit for Human Consumption","Paradise Locker Meats, Paradise Locker Meats","Nationwide, Nationwide","Wed, 11/30/2022 - Current, Wed, 11/30/2022 - Current"
042-2022,Product Contamination,"Tyson Fresh Meats, Inc.",Texas,"Wed, 11/16/2022 - Fri, 12/16/2022"
041-2022,Produced Without Benefit of Inspection,NA,California,"Wed, 11/09/2022 - Mon, 12/12/2022"
040-2022,Product Contamination,Foster Farms,"Arizona, California, Colorado, Utah, Washington","Sat, 10/29/2022 - Fri, 12/16/2022"
039-2022,Produced Without Benefit of Inspection,"JYC Enterprise, Inc.",Wisconsin,"Fri, 10/28/2022 - Tue, 02/07/2023"
038-2022,Product Contamination,"Lone Star Bakery, Inc.","California, Florida, Georgia, Texas","Thu, 10/27/2022 - Tue, 02/28/2023"
037-2022,"Misbranding, Mislabeling, Produced Without Benefit of Inspection","NA, NA, NA","Florida, Florida, Florida","Wed, 10/26/2022 - Tue, 01/10/2023, Wed, 10/26/2022 - Tue, 01/10/2023, Wed, 10/26/2022 - Tue, 01/10/2023"
036-2022,Product Contamination,NA,NA,"Fri, 10/21/2022 - Thu, 01/26/2023"
035-2022,Product Contamination,"AdvancePierre Foods, Inc.",Virginia,"Sun, 10/16/2022 - Wed, 01/18/2023"
PHA-10132022-01,Product Contamination,NA,NA,"Thu, 10/13/2022 - Current"
PHA-10012022-01,Product Contamination,NA,Minnesota,"Sat, 10/01/2022 - Current"
034-2022,Product Contamination,"Behrmann Meat & Processing, Inc.",NA,"Sat, 09/24/2022 - Wed, 03/15/2023"
033-2022,Produced Without Benefit of Inspection,NA,NA,"Fri, 09/23/2022 - Mon, 12/12/2022"
032-2022,"Misbranding, Unreported Allergens","VICS Acquisition, LLC, VICS Acquisition, LLC","Nationwide, Nationwide","Sat, 09/17/2022 - Fri, 12/16/2022, Sat, 09/17/2022 - Fri, 12/16/2022"
