Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
3/14/2023 05:59AM,230304431,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/MARSHALL AVE,NA,WAR
3/14/2023 03:15AM,230304407,SELF,LAW DEPARTMENT ASSIST,400-BLK MAIN ST,NA,NAT
3/14/2023 02:32AM,230304398,SELF,CITIZEN CONTACT,515 CLARK AVE,NA,ASC
3/14/2023 02:13AM,230304396,PHONE,GENERAL ALARM BANK / RESIDENTI,108 S 5TH ST,NA,BIL
3/14/2023 02:08AM,230304395,SELF,LAW DEPARTMENT ASSIST,450 E 7TH ST,NA,NOR
3/14/2023 01:37AM,230304384,WALK,SCAM,4700-303 MORTENSEN RD,23000931,RPT
3/14/2023 01:14AM,230304381,PHONE,DISTURBANCE & NOISE PARTY,119-511 STANTON AVE,NA,NOR
3/13/2023 11:47PM,230304356,SELF,TRAFFIC STOP / ENFORCEMENT,DUFF AVE/LINCOLN WAY,NA,WAR
3/13/2023 11:44PM,230304354,SELF,LAW DEPARTMENT ASSIST,129-201 WELCH AVE,NA,NOR
3/13/2023 11:25PM,230304350,PHONE,DISORDERLY CONDUCT,1214 NORTHWESTERN AVE,NA,NOR
3/13/2023 10:32PM,230304342,W911,RECKLESS DRIVER,S DUFF AVE/S 16TH ST,NA,UTL
3/13/2023 10:24PM,230304340,PHONE,PARKING ENFORCEMENT/COMPLAINT,500-BLK NORTHWESTERN AVE,NA,NOR
3/13/2023 08:54PM,230304318,PHONE,OPEN DOOR,515 CLARK AVE,NA,NOR
3/13/2023 08:49PM,230304315,PHONE,THEFT / FRAUD / FORGERY,3321 PERIDOT AVE,23000930,RPT
3/13/2023 08:47PM,230304313,SELF,TRAFFIC STOP / ENFORCEMENT,STANGE RD/24TH ST,NA,CIT
3/13/2023 08:11PM,230304300,PHONE,THEFT / FRAUD / FORGERY,119 STANTON AVE,23000929,RPT
3/13/2023 07:40PM,230304294,W911,FIGHT IN PROGRESS,413 TEAGARDEN DR,NA,NOR
3/13/2023 07:27PM,230304292,E911,MEDICAL ASSIST/AMBULANCE CALL,3440-110 GRAND AVE,NA,NRSP
3/13/2023 06:47PM,230304286,W911,MEDICAL ASSIST/AMBULANCE CALL,700-201 SOUTH DAKOTA AVE,NA,NRSP
3/13/2023 05:45PM,230304267,SELF,TRAFFIC STOP / ENFORCEMENT,US HIGHWAY 30/S DAYTON AVE,NA,WAR
3/13/2023 05:33PM,230304262,W911,DISORDERLY CONDUCT,3426-120 ORION DR,NA,ASC
3/13/2023 05:07PM,230304251,PHONE,PARKING ENFORCEMENT/COMPLAINT,600-BLK CLARK AVE,NA,INFO
3/13/2023 05:06PM,230304249,PHONE,PUBLIC SMOKING COMPLAINT,811 E LINCOLN WAY,NA,INFO
3/13/2023 04:54PM,230304242,PHONE,SCAM,921-103 9TH ST,NA,ASC
3/13/2023 04:46PM,230304236,PHONE,MEDICAL ASSIST/AMBULANCE CALL,207-7 STANTON AVE,NA,NRSP
3/13/2023 04:44PM,230304234,PHONE,THEFT / FRAUD / FORGERY,515 CLARK AVE,NA,ASC
3/13/2023 04:40PM,230304233,PHONE,SCAM,119-204 CRYSTAL ST,23000928,RPT
3/13/2023 04:35PM,230304231,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1404 S DUFF AVE,NA,INFO
3/13/2023 04:26PM,230304226,PHONE,ANIMAL CALL,2714 VALLEY VIEW CIR,NA,NOR
3/13/2023 03:32PM,230304218,W911,MOTOR VEH CRASH/PROP DAMAGE,600-BLK LINCOLN WAY,23000927,RPT
3/13/2023 03:21PM,230304216,PHONE,HARASSMENT,422-5 STONEHAVEN DR,NA,NOR
3/13/2023 02:35PM,230304203,PHONE,DISORDERLY CONDUCT,204 BEEDLE DR,23000926,RPT
3/13/2023 02:24PM,230304201,PHONE,THEFT / FRAUD / FORGERY,815-101 BURNETT AVE,NA,NOR
3/13/2023 02:01PM,230304193,SELF,TRESPASS,129 HAYWARD AVE,NA,ASC
3/13/2023 01:36PM,230304184,SELF,TRAFFIC STOP / ENFORCEMENT,NORTH DAKOTA AVE/LINCOLN WAY,NA,CIT
3/13/2023 12:31PM,230304159,PHONE,LAW DEPARTMENT ASSIST,4830-120 MORTENSEN RD,NA,NOR
