"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"17-000001","01/01/17 1643","01/01/17 1643","01/01/17 1643","124 University Village","Arrest","drug violation",-93.6408701,42.0396747
"17-000002","01/01/17 2107","01/01/17 2107","01/01/17 2107","Foutainview Apartments","Arrest","drug violation",-93.6713803,42.0112352
"17-000003","01/02/17 0257","01/02/17 0257","01/02/17 0257","Lincoln Way and University Boulevard","Arrest","drug violation",-93.6332661,42.0228746
"17-000003","01/02/17 0257","01/02/17 0257","01/02/17 0257","Lincoln Way and University Boulevard","Arrest","driving violation",-93.6332661,42.0228746
"17-000008","01/06/17 1358",NA,"01/06/17 1358","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000010","01/07/17 0107","01/07/17 0107","01/07/17 0107","204 Welch Avenue","Arrest","public intoxication",-93.6497013,42.0213099
"17-000010","01/07/17 0107","01/07/17 0107","01/07/17 0107","204 Welch Avenue","Arrest","interference",-93.6497013,42.0213099
"17-000011","01/07/17 2131","01/07/17 2131","01/07/17 2131","119 Stanton Avenue","Arrest","alcohol violation",-93.6489377,42.0219747
"17-000012","01/08/17 0048","01/08/17 0048","01/08/17 0048","Hawthorn Court Drive and Stange Road","Arrest","drug violation",-93.64473,42.0338708
"17-000013","01/08/17 0157","01/08/17 0157","01/08/17 0157","South 4th Street and University Boulevard","Arrest","operating while intoxicated",-93.63108,42.016262
"17-000015","01/08/17 1608",NA,"01/08/17 1608","Willow Hall","Open","theft",-93.6377325,42.0239136
"17-000016","01/09/17 0018","01/09/17 0018","01/09/17 0018","4510 Mortensen Road","Arrest","operating while intoxicated",-93.6797113,42.0116104
"17-000016","01/09/17 0018","01/09/17 0018","01/09/17 0018","4510 Mortensen Road","Arrest","drug violation",-93.6797113,42.0116104
"17-000016","01/09/17 0018","01/09/17 0018","01/09/17 0018","4510 Mortensen Road","Arrest","driving violation",-93.6797113,42.0116104
"17-000017","01/09/17 1130",NA,"01/09/17 1130","Lloyd Veterinary Medical Center","Open","vandalism",-93.631937,42.0064424
"17-000019","01/10/17 1043",NA,"01/10/17 1043","Lied Recreation Center","Open","theft",-93.6372142,42.0267276
"17-000020","01/10/17 2032","01/10/17 2032","01/10/17 2032","Lot 61A","Arrest","drug violation",-93.6483506,42.0124764
"17-000021","01/11/17 0307","01/11/17 0307","01/11/17 0307","Lincoln Way and University Boulevard","Arrest","operating while intoxicated",-93.6332661,42.0228746
"17-000022","01/11/17 1129",NA,"01/11/17 1129","Gerdin Business Building","Open","theft",-93.6444688,42.0254011
"17-000023","01/11/17 1239",NA,"01/11/17 1239","Armory Building","Open","harassment",-93.6509474,42.029626
