"General.Location","n","longitude","latitude"
"Lot G3",507,-93.6227301,42.0493019
"Armory Building",329,-93.6509474,42.029626
"Friley Hall",238,-93.65045,42.0239234
"Frederiksen Court",190,-93.6440878,42.0340306
"Memorial Union",156,-93.6459454,42.0236502
"Larch Hall",145,-93.6382868,42.0232779
"Parks Library",138,-93.6488141,42.0281254
"Buchanan Hall",135,-93.642449,42.022653
"Helser Hall",123,-93.6518379,42.02424
"Wilson Hall",110,-93.651021,42.0139143
"Lot 63",109,-93.6367573,42.0239698
"Lot G2",96,-93.6363807,42.010106
"119 Stanton Avenue",91,-93.6489377,42.0219747
"Wallace Hall",90,-93.6499279,42.0142261
"Mortensen Road and State Avenue",89,-93.6589323,42.0118849
"Willow Hall",89,-93.6377325,42.0239136
"Knapp Street and Welch Avenue",83,-93.6500882,42.0191138
"Lincoln Way and Sheldon Avenue",77,-93.6542392,42.0227224
"Maple Hall",77,-93.6387491,42.023654
"Hayward Avenue and Lincoln Way",74,-93.6517059,42.0228461
"Hyland Avenue and Lincoln Way",70,-93.6555907,42.0227264
"University Village",70,-93.6441672,42.0427435
"Hayward Avenue and Knapp Street",69,-93.6517339,42.0191154
"Linden Hall",69,-93.6403252,42.0231404
"Lied Recreation Center",66,-93.6372142,42.0267276
"Beach Avenue and Lincoln Way",65,-93.639494,42.022655
"Ash Avenue and Lincoln Way",61,-93.64441,42.0226961
"Lincoln Way and State Avenue",57,-93.6591203,42.0227266
"100 block of Welch Avenue",55,-93.6501392,42.02272
"Ames Intermodal Facility",54,-93.6523433,42.0210166
"Lincoln Way and University Boulevard",51,-93.6332661,42.0228746
"South 16th Street and University Boulevard",51,-93.6337562,42.0114627
"Martin Hall",50,-93.6529424,42.0238665
"State Gymnasium",50,-93.6538021,42.0246748
"Lincoln Way and Welch Avenue",48,-93.6501393,42.0227328
"Schilletter Village",48,-93.6419526,42.0440492
"Campus Avenue and Lincoln Way",47,-93.6570426,42.0227269
"Hayward Avenue and Mortensen Road",47,-93.6516786,42.0118612
"Chamberlain Street and Welch Avenue",46,-93.6501941,42.0214439
