,Case.Number,Date.Time.Reported,Earliest.Occurrence,Latest.Occurrence,General.Location,Disposition,Classification,longitude,latitude,Category
1,12-000003,1/1/2012 0:35,1/1/2012 0:35,1/1/2012 0:35,Chamberlain Street and Welch Avenue,Arrest,liquor law violation,-93.6501941,42.0214439,Alcohol Related
2,12-000009,1/1/2012 1:46,1/1/2012 1:46,1/1/2012 1:46,Lincoln Way and University Boulevard,Arrest,operating while intoxicated,-93.6332661,42.0228746,Alcohol Related
3,12-000017,1/1/2012 3:26,1/1/2012 3:26,1/1/2012 3:26,Franklin Avenue and Lincoln Way,Arrest,public intoxication,-93.6647899,42.0228024,Alcohol Related
4,12-000107,1/5/2012 10:58,1/5/2012 10:58,1/5/2012 10:58,Memorial Union,Arrest,public intoxication,-93.6459454,42.0236502,Alcohol Related
5,12-000120,1/5/2012 22:56,1/5/2012 22:56,1/5/2012 22:56,Linden Hall,Arrest,drug violation,-93.6403252,42.0231404,Drug Related
6,12-000124,1/6/2012 2:07,1/6/2012 2:07,1/6/2012 2:07,State Gym,Arrest,public intoxication,-93.6536049,42.0250759,Alcohol Related
7,12-000124,1/6/2012 2:07,1/6/2012 2:07,1/6/2012 2:07,State Gym,Arrest,liquor law violation,-93.6536049,42.0250759,Alcohol Related
8,12-000124,1/6/2012 2:07,1/6/2012 2:07,1/6/2012 2:07,State Gym,Arrest,unlawful use of license,-93.6536049,42.0250759,License Related
9,12-000126,1/6/2012 2:43,1/6/2012 2:43,1/6/2012 2:43,2700 block of Lincoln Way,Arrest,public intoxication,-93.6545215,42.022377,Alcohol Related
10,12-000138,1/7/2012 1:06,1/7/2012 1:06,1/7/2012 1:06,Campus Avenue and West Street,Arrest,public intoxication,-93.6570365,42.0253277,Alcohol Related
11,12-000139,1/7/2012 1:33,1/7/2012 1:33,1/7/2012 1:33,200 block of Stanton Avenue,Arrest,public intoxication,-93.648229,42.021222,Alcohol Related
12,12-000169,1/8/2012 0:47,1/8/2012 0:47,1/8/2012 0:47,Friley Hall,Arrest,public intoxication,-93.65045,42.0239234,Alcohol Related
13,12-000170,1/8/2012 0:56,1/8/2012 0:56,1/8/2012 0:56,Lincoln Way and Welch Avenue,Arrest,public intoxication,-93.6501393,42.0227328,Alcohol Related
14,12-000173,1/8/2012 1:59,1/8/2012 1:59,1/8/2012 1:59,Ash Avenue and Lincoln Way,Arrest,agency assist,-93.64441,42.0226961,Miscellaneous
15,12-000174,1/8/2012 2:10,1/8/2012 2:10,1/8/2012 2:10,Lincoln Way and Stanton Avenue,Arrest,operating while intoxicated,-93.6485139,42.0227359,Alcohol Related
16,12-000175,1/8/2012 3:02,1/8/2012 3:02,1/8/2012 3:02,Hayward Avenue and Storm Street,Arrest,operating while intoxicated,-93.6516926,42.0161435,Alcohol Related
17,12-000185,1/8/2012 18:09,1/8/2012 18:09,1/8/2012 18:09,Helser Hall,Arrest,drug violation,-93.6518379,42.02424,Drug Related
18,12-000195,1/8/2012 23:06,1/8/2012 23:06,1/8/2012 23:06,Eaton Hall,Arrest,drug violation,-93.6528168,42.0245839,Drug Related
19,12-000202,1/9/2012 9:12,1/9/2012 9:12,1/9/2012 9:12,Bissell Road and Pammel Drive,Closed,intrastate warrant service,-93.6518944,42.030401,Miscellaneous
20,12-000239,1/9/2012 23:26,1/9/2012 23:26,1/9/2012 23:26,Freeman Hall,Closed,intrastate warrant service,-93.6416614,42.0247633,Miscellaneous
21,12-000382,1/12/2012 1:53,1/12/2012 1:53,1/12/2012 1:53,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
